ImageId,BuildingId,X,Y
0,36,136,330
0,36,149,344
0,36,140,353
0,36,127,339
0,37,117,236
0,37,126,227
0,37,141,241
0,37,131,251
0,37,117,236
0,38,128,270
0,38,139,260
0,38,152,273
0,38,141,283
0,38,128,270
0,39,56,296
0,39,68,285
0,39,77,295
0,39,65,306
0,39,56,296
0,40,2,273
0,40,10,282
0,40,2,289
0,40,2,273
0,41,57,93
0,41,68,84
0,41,77,95
0,41,67,104
0,41,57,93
0,42,21,126
0,42,31,118
0,42,41,130
0,42,31,138
0,42,21,126
0,43,56,342
0,43,67,331
0,43,76,341
0,43,65,352
0,43,56,342
0,44,76,268
0,44,87,258
0,44,105,277
0,44,94,287
0,44,76,268
0,45,44,304
0,45,54,296
0,45,66,310
0,45,55,319
0,45,44,304
0,46,110,4
0,46,111,2
0,46,128,2
0,46,122,12
0,46,110,4
0,47,79,342
0,47,67,328
0,47,78,318
0,47,90,332
0,47,79,342
0,48,63,20
0,48,70,6
0,48,83,12
0,48,76,26
0,48,63,20
0,49,46,3
0,49,44,15
0,49,30,12
0,49,33,3
0,49,46,3
0,50,153,247
0,50,163,239
0,50,171,248
0,50,171,253
0,50,164,259
0,50,153,247
0,51,1,115
0,51,8,124
0,51,1,131
0,51,1,115
0,52,164,346
0,52,171,340
0,52,171,353
0,52,164,346
0,53,102,245
0,53,114,235
0,53,127,251
0,53,115,261
0,53,102,245
0,54,2,296
0,54,3,297
0,54,2,298
0,54,2,296
0,55,98,402
0,55,108,391
0,55,121,405
0,55,101,405
0,55,98,402
0,56,16,262
0,56,27,251
0,56,37,261
0,56,27,272
0,56,16,262
0,57,71,40
0,57,88,7
0,57,102,14
0,57,84,48
0,57,71,40
0,58,79,318
0,58,90,308
0,58,107,328
0,58,96,338
0,58,79,318
0,59,0,53
0,59,7,47
0,59,11,53
0,59,0,63
0,59,0,53
0,60,91,308
0,60,103,296
0,60,114,308
0,60,102,319
0,60,91,308
0,61,33,70
0,61,41,61
0,61,54,74
0,61,45,82
0,61,33,70
0,62,121,22
0,62,125,13
0,62,138,19
0,62,133,29
0,62,121,22
0,63,127,106
0,63,138,98
0,63,149,113
0,63,138,122
0,63,127,106
0,64,61,209
0,64,72,199
0,64,89,217
0,64,78,228
0,64,61,209
0,65,154,205
0,65,167,195
0,65,171,200
0,65,171,215
0,65,166,219
0,65,154,205
0,66,154,362
0,66,166,351
0,66,171,356
0,66,171,378
0,66,170,378
0,66,154,362
0,67,162,300
0,67,171,292
0,67,171,310
0,67,162,300
0,68,83,387
0,68,95,378
0,68,106,391
0,68,94,401
0,68,83,387
0,69,131,385
0,69,140,376
0,69,151,387
0,69,142,396
0,69,131,385
0,70,55,115
0,70,65,107
0,70,69,111
0,70,59,120
0,70,55,115
0,71,90,285
0,71,79,295
0,71,69,284
0,71,80,274
0,71,90,285
0,72,97,288
0,72,105,280
0,72,113,289
0,72,105,297
0,72,97,288
0,73,18,82
0,73,31,71
0,73,47,88
0,73,34,100
0,73,18,82
0,74,15,213
0,74,26,204
0,74,38,218
0,74,28,227
0,74,15,213
0,75,27,315
0,75,41,303
0,75,55,320
0,75,41,331
0,75,27,315
0,76,27,201
0,76,39,191
0,76,51,204
0,76,39,215
0,76,27,201
0,77,109,2
0,77,106,7
0,77,98,2
0,77,109,2
0,78,42,25
0,78,45,19
0,78,58,25
0,78,55,31
0,78,42,25
0,79,10,13
0,79,13,5
0,79,29,11
0,79,26,19
0,79,10,13
0,80,0,102
0,80,6,96
0,80,18,109
0,80,8,119
0,80,1,112
0,80,0,102
0,81,65,166
0,81,75,158
0,81,90,177
0,81,80,185
0,81,65,166
0,82,115,281
0,82,126,272
0,82,138,285
0,82,127,295
0,82,115,281
0,83,2,292
0,83,9,287
0,83,14,293
0,83,8,298
0,83,2,292
0,83,2,292
0,84,132,404
0,84,140,397
0,84,146,404
0,84,132,404
0,85,62,405
0,85,67,400
0,85,72,405
0,85,62,405
0,86,5,225
0,86,15,216
0,86,27,230
0,86,17,239
0,86,5,225
0,87,140,397
0,87,132,404
0,87,125,404
0,87,118,397
0,87,130,386
0,87,140,397
0,88,87,45
0,88,104,13
0,88,117,19
0,88,100,52
0,88,87,45
0,89,44,105
0,89,55,95
0,89,64,105
0,89,53,116
0,89,44,105
0,90,3,345
0,90,6,342
0,90,19,358
0,90,10,365
0,90,3,357
0,90,3,358
0,90,3,345
0,91,168,126
0,91,171,124
0,91,171,130
0,91,168,126
0,92,40,190
0,92,50,181
0,92,56,188
0,92,49,193
0,92,50,194
0,92,47,197
0,92,40,190
0,93,105,362
0,93,116,352
0,93,130,367
0,93,122,375
0,93,118,370
0,93,115,372
0,93,105,362
0,94,136,146
0,94,140,151
0,94,142,150
0,94,147,156
0,94,136,165
0,94,127,155
0,94,136,146
0,95,78,198
0,95,86,190
0,95,100,206
0,95,90,215
0,95,79,204
0,95,82,202
0,95,78,198
0,96,48,198
0,96,52,195
0,96,51,193
0,96,63,183
0,96,70,192
0,96,54,206
0,96,48,198
0,97,138,210
0,97,149,201
0,97,164,219
0,97,155,226
0,97,151,221
0,97,148,223
0,97,138,210
0,98,65,395
0,98,78,384
0,98,93,400
0,98,88,405
0,98,81,405
0,98,78,402
0,98,74,405
0,98,74,405
0,98,65,395
0,99,4,336
0,99,15,326
0,99,30,344
0,99,23,350
0,99,18,344
0,99,14,348
0,99,4,336
0,100,76,156
0,100,89,145
0,100,100,159
0,100,92,166
0,100,89,161
0,100,84,166
0,100,76,156
0,101,48,177
0,101,61,165
0,101,76,182
0,101,69,188
0,101,62,180
0,101,55,186
0,101,48,177
0,102,123,220
0,102,136,210
0,102,151,229
0,102,143,235
0,102,137,228
0,102,132,231
0,102,123,220
0,103,7,138
0,103,20,127
0,103,37,148
0,103,31,153
0,103,24,145
0,103,18,151
0,103,7,138
0,104,139,324
0,104,164,305
0,104,171,313
0,104,171,326
0,104,168,323
0,104,151,338
0,104,139,324
0,105,111,120
0,105,125,108
0,105,138,124
0,105,128,132
0,105,123,126
0,105,118,129
0,105,111,120
0,106,132,140
0,106,145,130
0,106,160,148
0,106,150,157
0,106,142,147
0,106,139,149
0,106,132,140
0,107,96,174
0,107,106,166
0,107,113,174
0,107,116,172
0,107,124,181
0,107,112,192
0,107,96,174
0,108,43,234
0,108,52,226
0,108,64,239
0,108,52,250
0,108,43,240
0,108,46,237
0,108,43,234
0,109,165,85
0,109,168,78
0,109,171,79
0,109,171,87
0,109,165,85
0,110,102,130
0,110,97,122
0,110,106,116
0,110,121,136
0,110,119,137
0,110,125,144
0,110,111,154
0,110,97,134
0,110,102,130
0,111,17,326
0,111,22,321
0,111,24,324
0,111,29,320
0,111,42,334
0,111,34,340
0,111,31,336
0,111,28,338
0,111,17,326
0,112,44,405
0,112,48,402
0,112,51,405
0,112,44,405
0,113,108,165
0,113,117,157
0,113,121,162
0,113,127,156
0,113,139,171
0,113,127,182
0,113,116,170
0,113,114,172
0,113,108,165
0,114,31,387
0,114,34,390
0,114,18,404
0,114,3,389
0,114,3,377
0,114,14,369
0,114,19,374
0,114,31,387
